Flight ORG DEST Departure Arrival Cost
AR1672 BRC AEP 770 898 10348.8050740088
AR1688 BRC AEP 895 1018 10232.9701504347
AR1678 BRC EZE 955 1080 10279.7509049277
AR1680 BRC AEP 970 1098 10348.8050740088
AR1693 BRC EZE 1065 1195 10394.125961257
AR1692 BRC AEP 1120 1248 10348.8050740088
AR1682 BRC AEP 1295 1418 10232.9701504347
AR1690 BRC AEP 1340 23 10232.9701504347
AR1538 COR AEP 350 430 9021.9884493102
AR1591 COR CRD 490 804 13309.0228111018
AR1500 COR AEP 585 660 8842.34585961804
AR1842 COR FTE 810 1100 13012.0998002059
AR1854 COR ROS 810 870 8207.77346378689
AR1666 CPC AEP 900 1020 10161.6278815648
AR1823 CRD SLA 195 545 13727.8383653278
AR1831 CRD AEP 675 815 10612.8220639864
AR1596 CRD COR 1080 1385 13199.4807695169
AR1841 CRD AEP 1125 1265 10612.8220639864
AR1837 CRD AEP 1320 20 10612.8220639864
AR1673 EZE BRC 420 560 10612.8220639864
AR1260 EZE ASU 435 555 10161.6278815648
AR1382 EZE COR 455 545 9349.28267016637
AR1691 EZE BRC 475 620 10717.6468615335
AR1852 EZE USH 550 765 11962.5459516739
AR1870 EZE FTE 600 800 11723.4599669763
AR1360 EZE BOG 770 1140 13948.5755624539
AR1364 EZE LIM 1140 1435 13075.2537499524
AR1910 EZE SSA 1290 115 12685.0162685854
AR1254 EZE GIG 1320 60 11384.1557924008
AR1362 EZE VVI 1335 85 11556.9844904548
AR1825 FTE AEP 120 296 11313.0912242604
AR1843 FTE COR 595 780 11471.4056537583
AR1874 FTE USH 845 925 9021.9884493102
AR1873 FTE EZE 1090 1266 11313.0912242604
AR1875 FTE AEP 1100 1276 11313.0912242604
AR1893 FTE AEP 1145 1326 11401.7437456611
AR1255 GIG EZE 100 300 11723.4599669763
AR1253 GIG AEP 905 1110 11804.505903862
AR1257 GIG AEP 1220 1425 11804.505903862
AR1811 IGR AEP 485 600 10039.4021341655
AR1724 IGR EZE 1110 1235 10279.7509049277
AR1725 IGR AEP 1320 0 10161.6278815648
AR1365 LIM EZE 55 300 12408.1710330831
AR1407 MDZ AEP 510 611 9671.53760016906
AR1423 MDZ AEP 1030 1131 9671.53760016906
AR1411 MDZ AEP 1195 1296 9671.53760016906
AR1409 MDZ AEP 1340 1 9671.53760016906
AR1652 NQN AEP 595 697 9699.23520732904
AR1865 REL AEP 480 595 10039.4021341655
AR1867 REL AEP 1295 1410 10039.4021341655
AR1849 RGA AEP 630 827 11674.1469476253
AR1845 RGA AEP 1065 1262 11674.1469476253
AR1883 RGL AEP 150 335 11471.4056537583
AR1851 RGL AEP 565 750 11471.4056537583
AR1803 ROS COR 840 900 8207.77346378689
AR1810 ROS BRC 840 1075 12263.9936014816
AR1451 SLA AEP 585 705 10161.6278815648
AR1455 SLA AEP 805 930 10279.7509049277
AR1461 SLA AEP 945 1070 10279.7509049277
AR1457 SLA AEP 1040 1165 10279.7509049277
AR1815 SLA AEP 1255 1375 10161.6278815648
AR1821 SLA CRD 1255 142 13463.6910895638
AR1911 SSA EZE 160 450 13012.0998002059
AR1470 TUC AEP 370 480 9912.66055227099
AR1472 TUC AEP 540 645 9780.9174383928
AR1474 TUC AEP 830 940 9912.66055227099
AR1879 USH AEP 605 813 11852.4713173438
AR1853 USH EZE 845 1053 11852.4713173438
AR1871 USH AEP 970 1276 13211.755678088
AR1891 USH AEP 1225 1433 11852.4713173438
AR1363 VVI EZE 130 314 11454.0921922463
